Id,Provincia,Nombre
427,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires
428,Provincia del Neuquén,Neuquén
429,Provincia de La Pampa,La Pampa
430,Provincia de Mendoza,Mendoza
431,Provincia de San Luis,San Luis
432,Provincia de Córdoba,Córdoba
433,Provincia de Santa Fe,Santa Fe
434,Provincia de Entre Ríos,Entre Ríos
435,Provincia de San Juan,San Juan
436,Provincia de La Rioja,La Rioja
437,Provincia de Catamarca,Catamarca
438,Provincia de Tucumán,Tucumán
439,Provincia de Jujuy,Jujuy
440,Provincia del Chaco,Chaco
441,Provincia de Formosa,Formosa
442,Provincia de Santiago del Estero,Santiago del Estero
443,Provincia de Tierra del Fuego,Tierra del Fuego Antártida e Islas del Atlántico Sur
444,Provincia de Santa Cruz,Santa Cruz
445,Provincia del Chubut,Chubut
446,Provincia de Río Negro,Río Negro
447,Provincia de Buenos Aires,Buenos Aires
448,Provincia de Corrientes,Corrientes
449,Provincia de Misiones,Misiones
450,Provincia de Salta,Salta
